"site_id_with_pcr","week_end","site_id","mean_pcr_target_flowpop_lin","all_pcr_target_flowpop_lin","wval_site_wk","all_sample_collect_dates","days_since_first_sample","baseline_avg_conc_ln","last_baseline_ln","last_std_ln","std_avg_conc_ln","pcr_target_below_lod","pcr_target","all_ww_index_ln_lin","source","county_names","wval_site_wk_level"
"15003-004-01-00-00_rsv",2026-01-24,"15003-004-01-00-00",1484210.5938329,"1202992.75330961, 1765428.43435619",21.9762652314837,"2026-01-21, 2026-01-20",792,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","15.0896677306667, 28.8628627323007","CDC_VERILY",15003,"Very High"
"15003-004-01-00-00_rsv",2026-01-31,"15003-004-01-00-00",1135056.84191585,"489440.577486197, 1780673.10634551",16.2920555385888,"2026-01-28, 2026-01-26",798,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","3.29859635707489, 29.2855147201027","CDC_VERILY",15003,"Very High"
"15003-004-01-00-00_rsv",2026-02-07,"15003-004-01-00-00",929286.297142081,"929286.297142081",9.75263743751952,"2026-02-04",807,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","9.75263743751952","CDC_VERILY",15003,"High"
"15003-004-01-00-00_rsv",2026-02-14,"15003-004-01-00-00",1100698.22911774,"721005.812592028, 1480390.64564345",13.8905010289233,"2026-02-11, 2026-02-09",812,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","6.35011395592909, 21.4308881019174","CDC_VERILY",15003,"Very High"
"15003-004-01-00-00_rsv",2026-02-21,"15003-004-01-00-00",1232387.19240486,"715551.059033725, 1749223.32577599",17.3427192546349,"2026-02-18, 2026-02-17",820,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","6.26909920928428, 28.4163392999856","CDC_VERILY",15003,"Very High"
"15003-004-01-00-00_rsv",2026-02-28,"15003-004-01-00-00",241621.276595745,"241621.276595745, 241621.276595745",1,"2026-02-25, 2026-02-23",826,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"yes","rsv","1, 1","CDC_VERILY",15003,"Very Low"
"15003-004-01-00-00_rsv",2026-03-07,"15003-004-01-00-00",1305872.55338688,"1372511.56572286, 1239233.54105089",17.3618016956951,"2026-03-04, 2026-03-02",833,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","18.8573679498096, 15.8662354415807","CDC_VERILY",15003,"Very High"
"15003-004-01-00-00_rsv",2026-03-14,"15003-004-01-00-00",2614415.01204327,"1205581.05665848, 4023248.96742806",65.6676698505458,"2026-03-11, 2026-03-09",840,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","15.1446012910453, 116.190738410046","CDC_VERILY",15003,"Very High"
"15003-004-01-00-00_rsv",2026-03-21,"15003-004-01-00-00",241621.276595745,"241621.276595745",1,"2026-03-16",847,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"yes","rsv","1","CDC_VERILY",15003,"Very Low"
"15003-004-01-00-00_rsv",2026-03-28,"15003-004-01-00-00",2567808.11746843,"1959137.44875233, 3176478.78618453",56.1688484870047,"2026-03-25, 2026-03-23",854,12.395126806545,12.395126806545,0.591448084087118,0.591448084087118,"no","rsv","34.4181092006148, 77.9195877733945","CDC_VERILY",15003,"Very High"
